compound,pre,post,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Butenedioic acid, 2-methyl-, (E)-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Cyclohexen-1-one,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Cyclopenten-1-one, 2,3-dimethyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Cyclopenten-1-one, 2-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Cyclopenten-1-one, 3-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Furanmethanol,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2H-1-Benzopyran-2-one,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2H-1-Benzopyran-3,4-diol, 2-(3,4-dimethoxyphenyl)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2H-Pyran-2-one,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methoxy-5-methylphenol,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Naphthalenol,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Pentanone,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Pentenedioic acid, dimethyl ester",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Propanone, 1-(4-hydroxy-3-methoxyphenyl)- (Guaiacylacetone)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Propanone, 1-(4-methoxyphenyl)-",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-Propenoic acid, ethenyl ester",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Pyrimidinamine,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,4-Dimethoxyphenylacetone",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Decene,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Furaldehyde,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Methylindole,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Methylpyridazine,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3-Penten-2-one, (E)-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Phenylpyridine,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Pyridinol,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Amino-2(1H)-pyridinone,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4H-Pyran-4-one, 3-hydroxy-2-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Hydroxy-2-methylacetophenone,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Pyridinecarbonitrile,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Dimethylaminopyrimidine,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Ethyl-2-furaldehyde,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-tert-Butylpyrogallol,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Methylindan-1-one,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Tetradecene,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9,12-Octadecadienoic acid (Z,Z)-, ME ? (C18:2n6c Linoleic acid ME))",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9-Octadecenoic acid, methyl ester, (E)-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acenaphthene,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acenaphthylene,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acetamide, N-hydroxy",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetic acid,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acetic acid, methylester",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetic anhydride,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetophenone,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-amino-gamma-butyrolactone,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asarone,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzaldehyde,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzaldehyde 3,4-dimethoxy",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzaldehyde, 4-hydroxy-3,5-dimethoxy- (Syringaldehyde)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzaldehyde, 4-hydroxy-3-methoxy- (Vanillin)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzaldehyde, 4-methoxy-",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, (1-methylethyl)-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 1,2,3-trimethyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 1,2-dimethoxy-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 1,2-dimethoxy-4-(1-propen-1-yl)- (Methylisoeugenol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 1,4-dimethoxy-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 1,4-dimethoxy-2,3,5,6-tetramethyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 1-ethenyl-3-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 1-ethenyl-4-methoxy-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 1-ethyl-4-methoxy-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 2,4-diisocyanato-1-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, 4-ethenyl-1,2-dimethoxy-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzene, propyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzeneacetic acid, 4-hydroxy-3-methoxy- (Homovanillic acid)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzenepropanenitrile,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzofuran,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzofuran, 2,3-dihydro-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzofuran, 2-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzoic acid, 4-hydroxy-3,5-dimethoxy-, hydrazide",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzoic acid, 4-hydroxy-3-methoxy-, methyl ester (Vanillic Acid, methyl est)",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzoic acid, 4-hydroxy-3-methoxy-, methyl ester
(Vanillic Acid, methyl est",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzoic acid, 4-hydroxy-3-methoxy-Vanillic acid)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benzoic acid, methyl ester",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzyl nitrile,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biphenyl,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C14_alkene_#3,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8_H16,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9_H8,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclobut-1-enylmethanol,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cyclopent-2-ene-1-one, 2,3,4-trimethyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclopentanone,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diethyltoluamide (DEET),1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimethylbenzofuran,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dimethylpyrrole (2,5 or 2,4)",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-Limonene,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodecene,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethanone, 1-(3,4,5-trimethoxyphenyl)-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethanone, 1-(3,4-dimethoxyphenyl)-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethanone, 1-(3-hydroxy-4-methoxyphenyl)-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethanone, 1-(4-hydroxy-3,5-dimethoxyphenyl)- (Acetosyringone)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethanone, 1-(4-hydroxy-3-methoxyphenyl)-  (Acetovanillone)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethylbenzene,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethylphenol,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorene,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Furan, 2,4-dimethyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Furan, 2,5-dimethyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furfural,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Furfural, 5-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hepta-2,4-dienoic acid, methyl ester",0,1,,leading space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hex-2-yn-4-one, 2-methyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hexadecanoic acid, methyl ester (Palmitic acid-C16)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroquinone,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indane,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indole,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isocrotonic acid,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levoglucosan,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levoglucosenone,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-Aminophenylacetylene,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mequinol,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl 2-furoate,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Methylparaben (Benzoic acid, 4-hydroxy-, methyl ester )",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-xylene,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naphthalene,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naphthalene, 1,2-dihydro-4-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-Butyl-tert-butylamine,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-Isopropyl-4-piperidone,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Octane,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonanedioic acid (Azelaic Acid),0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Pentacosane (C25),1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Tricosane (C23),1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentanoic acid, 4-oxo-, methyl ester",0,1,,leading space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentylenetetrazol,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenol,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2,4-bis(1,1-dimethylethyl)-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2,6-dimethoxy- (Syringol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2,6-dimethoxy-4-(2-propenyl)- (Methoxyeugenol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2-methoxy- (Guaiacol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2-methoxy-4-(1-propenyl)- (4-Isoeugenol)",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2-methoxy-4-(1Z)-1-propen-1-yl- (cis-Isoeugenol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2-methoxy-4-(2-propenyl)- (4-Eugenol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2-methoxy-4-methyl- (4-Methylguaiacol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2-methoxy-4-propyl- (4-Guaiacylpropane)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2-Methoxy-4-vinyl- (Vinylguaiacol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 2-methoxy-5-(1-propenyl)-, (E)-",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 3,4-dimethyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 4-ethyl-2,6-dimethoxy- (Ethylsyringol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 4-ethyl-2-methoxy- (Ethylguaiacol)",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phenol, 4-methyl-",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-isopropenylphenol,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Propanoic acid, 2-hydroxy-, methyl ester, (Ò)-",0,1,,leading space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propene,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pyrazolo[5,1-c][1,2,4]benzotriazin-8-ol",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyridine,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pyridine, 3,5-dimethyl-",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrole,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pyrrolidine, 1-nitroso",1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyruvaldehyde,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resorcinol (Dihydroxybenzene),1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spiro[2.4]hepta-4,6-diene",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Styrene,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Succinic acid, dimethyl ester",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toluene,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimethylphenol,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinyl crotonate,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinylfuran,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,171,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
